Approve (Y/N),Status,Category,Proposed Title,Suggested Slug,Notes,New Act 2025 Section
,Existing,Startup Advisory,Startup Advisory for Foreign Investors Investing in India,startup-advisory-foreign-investors-india,,
,Existing,Transfer Pricing,Comparable Uncontrolled Price (CUP) Method: India Transfer Pricing Guide,comparable-uncontrolled-price-method-cup-india,,
,Existing,Transfer Pricing,Resale Price Method (RPM) in Transfer Pricing: India Guide,resale-price-method-transfer-pricing-india,,
,Existing,Transfer Pricing,TNMM: Transactional Net Margin Method Explained (India),tnmm-transactional-net-margin-method-india,,
,Existing,NRI Taxation,"Can an NRI Buy Agricultural Land in India? FEMA Rules, Exceptions & the FDI/ODI Angle",nri-agricultural-land-india-fema-rules,,
,Existing,FEMA & Compliance,"FDI in India: Routes, Sectoral Rules & Compliance Guide",fdi-in-india-routes-compliance-guide,,
,Existing,FEMA & Compliance,Overseas Direct Investment (ODI): Rules & Compliance Guide,odi-overseas-direct-investment-guide-india,,
,Existing,Tax Compliance,FAST-DS 2026: Foreign Assets Disclosure Scheme Explained,fast-ds-2026-foreign-assets-disclosure-scheme,,
,Existing,Startup Advisory,"Startup Compliance Automation: RBI ODI, APR, Transfer Pricing & GST",startup-compliance-automation-odi-apr-gst,,
,Existing,NRI Taxation,Form 27Q: Complete TDS Return Filing Guide for Payments to NRIs,form-27q-tds-return-filing-guide,,
,Existing,NRI Taxation,NRO Account TDS Refund: How to Claim Back Excess Tax Deducted,nro-tds-refund-claim-process,,
,Existing,International Tax,NRI GAAR Exposure: When Anti-Avoidance Rules Apply to Cross-Border Structures,nri-gaar-cross-border-structures,,
,Existing,Transfer Pricing,India-UAE Transfer Pricing: Compliance for Cross-Border Transactions,india-uae-transfer-pricing-compliance,,
,Existing,Transfer Pricing,TP Audit: How to Handle a Transfer Pricing Assessment in India,transfer-pricing-audit-assessment-india,,
,Existing,NRI Taxation,NRI Tax Compliance Calendar: Every Deadline (FY 2026-27),nri-tax-compliance-calendar-deadlines,,
,Existing,Startup Advisory,Startup Compliance Calendar: Year 1 to Year 3 Checklist,startup-compliance-calendar-year-1-3,,
,Existing,Company Incorporation,Post-Incorporation Checklist: First 30 Days After Company Registration,post-incorporation-checklist-first-30-days,,
,Existing,International Tax,"India DTAA Guide for NRIs by Country: US, UK, UAE, Canada, Australia, Singapore",dtaa-guide-nri-country-wise,,
,Existing,Transfer Pricing,Master File vs Local File vs CbCR: What Indian Subsidiaries Must Prepare,master-file-local-file-cbcr-india,,
,Existing,Transfer Pricing,"Form 3CEB: Due Date, Filing Process & Penalties (FY 2026-27)",form-3ceb-transfer-pricing-audit-report,,
,Existing,NRI Taxation,"Foreign Retirement Fund Taxation: 401(k), UK Pension & Superannuation",foreign-retirement-fund-taxation-nri,,
,Existing,Transfer Pricing,Transfer Pricing for IT Services Companies in India,transfer-pricing-it-services-india,,
,Existing,Transfer Pricing,"Advance Pricing Agreement (APA) India: Process, Timeline & Benefits",advance-pricing-agreement-apa-india,,
,Existing,Startup Advisory,Due Diligence Checklist for Startup Fundraising,due-diligence-checklist-startup-fundraising,,
,Existing,Transfer Pricing,Safe Harbour Rules for Transfer Pricing in India (2026),safe-harbour-rules-transfer-pricing-india,,
,Existing,Startup Advisory,GST Registration for Startups: When Required & First Return Guide,gst-registration-startups-first-return,,
,Existing,NRI Taxation,NRI Returning to India: Complete Financial Checklist (2026),nri-returning-india-financial-checklist,,
,Existing,Startup Advisory,Founder Agreement Essentials for Indian Startups,founder-agreement-essentials-indian-startups,,
,Existing,Transfer Pricing,"Transfer Pricing Methods Explained: CUP, TNMM, RPM, CPM & PSM",transfer-pricing-methods-india-explained,,
,Existing,NRI Taxation,Schedule FA: Foreign Asset Disclosure for Returning Indians,schedule-fa-foreign-asset-disclosure-nri,,
,Existing,Startup Advisory,Convertible Notes vs Equity: FEMA Rules for Indian Startups,convertible-notes-vs-equity-fema-startups,,
,Existing,Startup Advisory,"Startup Valuation in India: Methods, When Required & Who Can Do It",startup-valuation-methods-india,,
,Existing,NRI Taxation,"NRI ITR Filing Guide: Which Form, How to File from Abroad",nri-itr-filing-guide-from-abroad,,
,Existing,Startup Advisory,Angel Tax (Section 56(2)(viib)): Abolished for All Investors from FY 2024-25,angel-tax-section-56-share-premium-startups,,
,Existing,NRI Taxation,NRI Selling Shares in an Indian Private Company: Tax & FEMA Compliance,nri-selling-shares-indian-private-company-tax-fema,,
,Existing,Startup Advisory,"ESOP Structuring for Indian Startups: Scheme Design, Vesting & Tax",esop-structuring-indian-startups,,
,Existing,NRI Taxation,NRI Mutual Fund & Stock Taxation in India (FY 2026-27),nri-mutual-fund-stock-taxation-india,,
,Existing,NRI Taxation,"NRI Rental Income Tax in India: TDS, Deductions & Filing",nri-rental-income-tax-india,,
,Existing,NRI Taxation,TDS on NRO Account Interest and FD: Rates & DTAA Relief,tds-nro-interest-fd-dtaa-relief,,
,Existing,Company Incorporation,Company Name Reservation in India: SPICe+ Part A & RUN Explained,company-name-reservation-run-form-india,,
,Existing,NRI Taxation,"NRO Account Repatriation: Rules, USD 1 Million Limit & Step-by-Step Process",nro-account-repatriation-rules-process,,
,Existing,Company Incorporation,DSC and DIN Application: A Practical Guide for Directors,dsc-din-application-director-guide,,
